MRC Psycholinguistic Database Output
WORD                     NSYL
PAIR                     1
PALE                     1
PALL                     1
PALM                     1
PALP                     1
PAND                     1
PANE                     1
PANG                     1
PANT                     1
PARD                     1
PARE                     1
PARK                     1
PARR                     1
PART                     1
PASH                     1
PASK                     1
PASS                     1
PAST                     1
PATE                     1
PATH                     1
PAVE                     1
PAWK                     1
PAWL                     1
PAWN                     1
PEAI                     1
PEAK                     1
PEAL                     1
PEAN                     1
PEAR                     1
PECK                     1
PEEK                     1
PEEL                     1
PEEN                     1
PEEP                     1
PEER                     1
PEKE                     1
PELL                     1
PELT                     1
PEND                     1
PENT                     1
PEON                     1
PERK                     1
PERN                     1
PERT                     1
PEST                     1
PHEW                     1
PHIT                     1
PHIZ                     1
PHON                     1
PHUT                     1
PIAN                     1
PICE                     1
PICK                     1
PICT                     1
PIED                     1
PIER                     1
PIET                     1
PIKE                     1
PILE                     1
PIMP                     1
PIND                     1
PINE                     1
PING                     1
PINK                     1
PINT                     1
PIPE                     1
PIRL                     1
PIRN                     1
PISE                     1
PISH                     1
PISS                     1
PIST                     1
PITH                     1
PLAN                     1
PLAP                     1
PLAT                     1
PLAY                     1
PLEA                     1
PLIM                     1
PLOD                     1
PLOP                     1
PLOT                     1
PLOY                     1
PLUG                     1
PLUM                     1
PLUS                     1
PNYX                     1
POCK                     1
POEM                     1
POKE                     1
POLK                     1
POLL                     1
POLT                     1
POME                     1
POMP                     1
POND                     1
PONE                     1
PONS                     1
POOD                     1
POOF                     1
POOH                     1
POOL                     1
POON                     1
POOP                     1
POOR                     1
PORE                     1
PORT                     1
POSE                     1
POSH                     1
POSS                     1
POST                     1
POUF                     1
POUR                     1
POUT                     1
PRAD                     1
PRAM                     1
PRAY                     1
PREP                     1
PREY                     1
PRIG                     1
PRIM                     1
PROA                     1
PROD                     1
PROG                     1
PROM                     1
PROP                     1
PROW                     1
PRUT                     1
PUCE                     1
PUCK                     1
PUFF                     1
PUKE                     1
PULE                     1
PULL                     1
PULP                     1
PUMP                     1
PUNG                     1
PUNK                     1
PUNT                     1
PURE                     1
PURL                     1
PURR                     1
PUSH                     1
PUTT                     1
PUYA                     1
PYIN                     1
QUAD                     1
QUAG                     1
QUAT                     1
QUAY                     1
QUID                     1
QUIN                     1
QUIP                     1
QUIT                     1
QUIZ                     1
QUOD                     1
QUOP                     1
RACE                     1
RACK                     1
RAFF                     1
RAFT                     1
RAGE                     1
RAIA                     1
RAID                     1
RAIL                     1
RAIN                     1
RAKE                     1
RALE                     1
RAME                     1
RAMP                     1
RAND                     1
RANG                     1
RANK                     1
RANT                     1
RAPE                     1
RAPT                     1
RARE                     1
RASE                     1
RASH                     1
RASP                     1
RATE                     1
RATH                     1
RAVE                     1
RAZE                     1
READ                     1
REAL                     1
REAM                     1
REAP                     1
REAR                     1
RECK                     1
REDD                     1
REDE                     1
REED                     1
REEF                     1
REEK                     1
REEL                     1
REEM                     1
REFT                     1
REIF                     1
REIM                     1
REIN                     1
REIS                     1
REIT                     1
REND                     1
RENT                     1
REST                     1
RETE                     1
RHEA                     1
RHUS                     1
RIAL                     1
RICE                     1
RICH                     1
RIDE                     1
RIEM                     1
RIFE                     1
RIFT                     1
RILE                     1
RILL                     1
RIME                     1
RIND                     1
RING                     1
RINK                     1
RIPE                     1
RISE                     1
RISK                     1
RITE                     1
RIVE                     1
ROAD                     1
ROAM                     1
ROAN                     1
ROAR                     1
ROBE                     1
ROCK                     1
RODE                     1
ROED                     1
ROIL                     1
ROIN                     1
ROKE                     1
ROLE                     1
